                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8095,                 1.1369,                 1.1619,                0.90915,                0.95684,                0.97018,                0.55029,                 1.6644,                 1.0287,                 1.1371,             0.00049529,             0.00049529,             0.00049529
                     35,                  1.768,                 1.1246,                 1.1643,                0.93294,                0.95148,                 0.9673,                0.55136,                 1.6916,                 1.0288,                 1.1387,               0.000467,               0.000467,               0.000467
                     36,                 1.8293,                 1.1556,                 1.1694,                0.92134,                0.94937,                 0.9655,                0.55003,                 1.7143,                 1.0363,                 1.1374,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.7616,                 1.1027,                 1.1406,                0.92056,                0.94414,                0.96541,                0.54107,                 1.7943,                 1.0567,                 1.1557,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.7119,                 1.0968,                  1.141,                0.93718,                0.95101,                0.97206,                0.56785,                 1.6585,                  1.009,                 1.1214,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.7015,                 1.0334,                 1.1371,                0.95624,                0.94515,                0.96957,                0.57878,                 1.5956,                0.95754,                 1.1082,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.7132,                 1.0267,                 1.1328,                0.93968,                0.96203,                0.97131,                0.58992,                 1.5799,                0.94787,                 1.1005,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.7241,                 1.2099,                  1.174,                0.94042,                0.95435,                0.97208,                0.57713,                  1.584,                0.95139,                 1.0989,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.6806,                 1.2176,                 1.1486,                0.93298,                0.95148,                0.96221,                0.52903,                 1.6658,                0.99262,                 1.1196,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.6755,                 1.1336,                 1.1353,                0.94373,                0.96414,                0.97152,                0.51874,                 1.6644,                0.99303,                  1.124,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.7548,                 1.1132,                 1.1863,                0.95876,                0.96624,                0.97259,                0.54471,                 1.6786,                0.97351,                 1.1209,             0.00021235,             0.00021235,             0.00021235
                     45,                  1.699,                 1.0873,                 1.1528,                0.96048,                0.97257,                0.97303,                0.55917,                 1.6514,                0.96099,                 1.1122,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.6368,                 1.0889,                 1.1222,                0.95145,                0.96434,                0.96961,                0.58305,                 1.5528,                0.93316,                  1.089,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.6809,                 1.0958,                 1.1603,                0.94523,                0.96602,                0.97015,                0.59398,                 1.5219,                  0.923,                 1.0835,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.7032,                 1.0612,                 1.1407,                0.94627,                0.95909,                0.96938,                0.59286,                 1.5077,                0.91855,                 1.0801,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.6705,                 1.0708,                 1.1728,                0.95744,                 0.9509,                0.97037,                0.59779,                 1.4975,                0.92168,                 1.0781,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.5837,                 1.0452,                 1.1204,                0.95511,                0.95781,                0.97253,                0.60116,                  1.492,                0.92351,                 1.0775,             4.2584e-05,             4.2584e-05,             4.2584e-05
